moseco_id;data.oxid-ugleroda.avg_pdk_ss;data.dioxid-seri.avg_pdk_ss;data.serovodorod.avg_pdk_ss;data.metan.avg_pdk_ss;data.non-metan-ugevodorodi.avg_pdk_ss;data.dioxid-seri.avg_pdk_ss;data.uglevodorodi.avg_pdk_ss;data.oxid-azota.avg_pdk_ss;data.amiak.avg_pdk_ss;data.ozon.avg_pdk_ss;data.formaldegid.avg_pdk_ss;data.benzol.avg_pdk_ss;data.toluol.avg_pdk_ss;data.paraxilol.avg_pdk_ss;data.fenol.avg_pdk_ss;data.stirol.avg_pdk_ss;data.SO2_OPSIS.avg_pdk_ss;data.chastitsi-10.avg_pdk_ss;data.chastitsi-2.avg_pdk_ss;data.azotistaya-kislota.avg_pdk_ss;data.naftalin.avg_pdk_ss;data.metaksilol.avg_pdk_ss;data.etilbenzol.avg_pdk_ss;data.H2S.avg_pdk_ss
rogovo;0.06;0.07;;;;0.29;;0.08;;;;;;;;;;;;;;;;
troitsk;0.06;0.06;;;;0.63;;0.30;0.07;;;;;;;;;;;;;;;
kapotnya;0.10;;;;;0.80;;0.36;;;;;;;;;;;;;;;;
golovacheva;0.15;0.26;;;;0.68;;0.50;;;;;;;;;;;;;;;;
kozuhovskaya;0.20;0.12;;;;2.12;;;;0.64;0.31;0.03;;;0.34;1.69;;;;;;;;
shabol;0.17;0.08;;;;0.88;;0.27;;;;;;;;;;0.36;0.33;;;;;
spirid;0.10;;;;;1.03;;0.26;;1.24;;;;;;;;0.38;0.47;;;;;
kazak;0.06;;;;;0.67;;0.35;;;;;;;;;;;;;;;;
biryulevo;0.10;0.08;;;;0.57;;0.44;;;;;;;;;;;;;;;;
chayanova;0.07;;;;;0.87;;0.25;;;;;;;;;;;;;;;;
butlerova;0.13;;;;;0.87;;0.36;;;;;;;;;;;;;;;;
cheremushki;0.08;0.05;;;;0.51;;0.19;;;;;;;;;;0.48;0.38;;;;;
gagrina;;0.09;;;;1.46;;;;0.72;0.40;0.04;;;0.81;1.21;;;;;;0.11;;
marin;0.10;0.12;;;;0.86;;0.33;;1.03;;;;;;;;0.48;;;;;;
gurevsk;0.08;0.12;;;;0.94;;0.55;;;;;;;;;;;;;;;;
lyublino;0.21;0.11;;;;1.04;;0.77;;;;;;;;;;;;;;;;
hamovniki;;0.11;;;;1.41;;;;0.84;0.38;0.03;;;0.13;2.06;;;;;;0.04;;
kosino;;;;;;;;;;;;;;;;;;;0.59;;;;;
kojuhovo;0.11;0.10;;;;0.77;;0.24;;;0.32;0.07;;;0.12;0.75;;0.45;;;;;;
polyarnaya;0.11;0.05;;;;1.12;;0.62;;0.69;;;;;;;;;;;;;;
ostankino;0.13;;;;;0.80;;0.40;;;;;;;;;;0.41;;;;;;
madi;0.11;0.09;;;;0.93;;0.75;;;;;;;;;;;;;;;;
maslovka;0.44;0.13;;;;1.92;;;;;0.65;;;;0.57;3.10;;;;;;0.03;;
dolgoprud;0.19;0.10;;;;;;;;;;;;;;;;0.69;0.43;;;;;
letnaya;0.13;;;;;0.92;;0.44;;;;;;;;;;;;;;;;
turist;0.10;;;;;0.57;;0.28;;0.88;;;;;;;;;;;;;;
mgu;0.13;0.06;;;;0.84;;0.27;;0.97;;;;;;;;0.41;;;;;;
kutuz_2;;0.17;;;;1.48;;;;1.12;;0.02;;;1.06;;;;;;;0.03;;
zelen_11;0.11;;;;;0.73;;0.27;;;;;;;;;;0.46;;;;;;
zelen_15;0.19;0.06;;;;0.87;;0.64;;1.19;;;;;;;;;;;;;;
zelen_6;0.12;;;;;0.60;;0.36;;;;;;;;;;;;;;;;
veshnyaki;0.17;0.07;;;;0.80;;0.37;;;;;;;;;;0.37;0.39;;;;;
zvenigorod;0.10;;;;;0.42;;0.15;;1.46;;;;;;;;;;;;;;
chura;0.16;;;;;;;;;;;;;;;;;;;;;;;
suhar;0.19;;;;;1.27;;0.61;;;;;;;;;;;;;;;;
scherbinka;0.17;0.06;;;;0.79;;0.38;;;;;;;;;;;;;;;;
semenkovo;0.02;;;;;0.34;;0.04;;;;;;;;;;;;;;;;
salarevo;0.09;;;;;0.52;;0.20;;;;;;;;;;;;;;;;
proletarskiy;0.23;0.11;;;;0.93;;0.48;0.09;;;;;;;;;0.44;0.32;;;;;
guryanova;0.17;0.08;;;;0.92;;0.36;0.05;;;;;;;;;0.36;0.42;;;;;